wind_speed,landing_rate,crash_rate,oob_rate,timeout_rate,landings,crashes,oob,timeouts,n_episodes,avg_reward,avg_time
0,0.864,0.136,0.0,0.0,864,136,0,0,1000,227.84186695607076,5.416300000000001
0.25,0.896,0.104,0.0,0.0,896,104,0,0,1000,236.12927186959772,5.417200000000001
0.5,0.887,0.113,0.0,0.0,887,113,0,0,1000,233.37781473340607,5.4015
0.75,0.7982017982017982,0.2017982017982018,0.0,0.0,799,202,0,0,1001,209.71081534221807,5.367112887112888
1,0.56,0.44,0.0,0.0,560,440,0,0,1000,146.94239199895225,5.224360000000001
1.25,0.199,0.801,0.0,0.0,199,801,0,0,1000,53.559101433907635,5.09658
1.5,0.001,0.999,0.0,0.0,1,999,0,0,1000,2.333800553979119,4.9909
1.75,0.0,0.999,0.0,0.001,0,999,0,1,1000,-3.244714400022407,4.97412
2,0.0,0.871,0.045,0.084,0,871,45,84,1000,-41.13371103890729,7.78984
